Timestamp,CO2,Nitrogen,Phosphorus,Potassium,Calcium,Magnesium,Sulfur,Iron,Manganese,Zinc,Copper,Boron,Sodium,Chloride,Aluminum
2019-06-01 12:00:00,430.53,1.162,0.216,132.4,146.9,,16.0,6.07,1.52,3.76,0.95,0.64,,81.5,44.5
2019-06-02 12:00:00,419.46,0.81,0.294,165.1,458.7,57.9,35.0,7.16,0.12,,0.59,1.33,159.2,97.3,22.7
2019-06-03 12:00:00,458.48,0.948,0.47,112.0,334.3,29.9,42.1,5.21,1.59,1.16,0.12,1.27,54.2,,49.9
2019-06-04 12:00:00,458.82,0.525,0.156,142.9,257.4,49.3,34.0,,2.0,3.53,0.33,1.83,163.2,118.6,
2019-06-05 12:00:00,440.42,,0.311,177.7,443.4,39.4,30.9,5.31,3.29,3.51,,0.85,156.4,77.1,4.8
2019-06-06 12:00:00,419.54,0.183,0.283,104.2,493.0,20.7,19.8,4.43,1.17,2.48,0.37,1.49,39.9,146.0,47.9
2019-06-07 12:00:00,480.24,0.83,0.115,179.7,404.0,67.7,37.3,4.61,3.91,3.97,0.17,0.28,159.7,147.1,31.3
2019-06-08 12:00:00,494.31,0.354,0.115,183.9,359.1,45.8,39.5,3.58,2.26,4.12,0.68,1.49,180.1,35.2,24.9
2019-06-09 12:00:00,450.02,0.392,0.119,52.4,256.8,23.3,9.5,5.57,3.96,1.56,,0.25,166.1,63.2,2.1
2019-06-10 12:00:00,483.86,1.223,0.374,107.6,168.5,44.6,6.9,3.38,3.76,4.41,0.96,0.23,48.2,103.6,37.5
2019-06-11 12:00:00,400.55,1.335,0.159,142.1,346.1,34.8,7.1,4.23,4.96,1.55,1.0,1.13,54.2,94.6,
2019-06-12 12:00:00,482.88,0.25,0.482,145.1,306.9,21.1,36.1,4.25,4.56,0.33,0.98,0.35,173.9,,30.5
2019-06-13 12:00:00,468.61,0.858,0.223,148.7,,70.5,28.8,1.2,2.55,4.71,0.82,1.56,163.5,,3.3
2019-06-14 12:00:00,411.19,1.366,0.224,88.0,219.6,52.5,13.5,7.24,0.77,0.11,0.06,0.9,151.2,,44.9
2019-06-15 12:00:00,461.4,0.706,0.419,177.9,294.1,87.1,,6.66,1.68,,0.51,1.36,135.8,100.5,14.1
2019-06-16 12:00:00,,,0.494,130.6,186.5,76.6,7.6,8.36,4.6,2.72,0.98,0.34,119.5,55.2,36.5
2019-06-17 12:00:00,421.41,1.438,0.173,113.4,,22.0,28.0,1.3,2.27,2.49,0.87,,73.1,140.0,
2019-06-18 12:00:00,464.1,0.741,0.33,128.9,285.9,71.2,45.1,4.95,1.83,4.62,0.41,0.93,,147.8,5.1
2019-06-19 12:00:00,443.01,0.968,,173.9,109.4,52.5,45.7,4.32,4.35,3.92,0.6,1.81,89.2,,38.0
2019-06-20 12:00:00,470.87,0.232,0.431,137.9,,33.9,25.5,3.82,3.73,1.52,0.11,0.14,98.6,94.3,26.9
2019-06-21 12:00:00,430.26,0.618,0.103,160.1,481.6,62.6,34.1,6.02,3.52,2.29,0.88,0.77,110.8,134.2,15.1
2019-06-22 12:00:00,427.76,0.685,0.111,75.1,147.7,51.0,6.2,5.62,3.61,4.33,,1.65,55.8,135.7,19.9
2019-06-23 12:00:00,455.81,0.318,0.071,145.4,,87.7,9.6,1.81,4.28,4.86,,0.72,62.0,34.9,6.0
2019-06-24 12:00:00,447.92,1.46,,,410.9,41.0,16.5,6.28,4.75,2.56,0.77,0.46,,66.0,12.4
2019-06-25 12:00:00,496.79,0.239,0.136,118.6,156.8,38.0,25.5,2.2,4.99,3.33,0.13,1.62,184.0,35.4,30.2
2019-06-26 12:00:00,498.13,0.501,0.287,99.3,467.1,87.5,8.8,4.6,4.54,,0.54,,169.8,106.9,41.5
2019-06-27 12:00:00,467.53,0.635,0.371,,229.0,28.6,7.8,5.01,3.47,4.2,,,23.4,133.1,29.3
2019-06-28 12:00:00,490.48,,0.236,140.1,312.4,17.9,13.2,7.14,3.85,2.9,0.46,1.96,114.4,110.6,28.6
2019-06-29 12:00:00,,0.13,,66.1,122.1,23.8,7.3,4.71,0.71,4.45,0.96,2.0,158.5,21.9,3.5
2019-06-30 12:00:00,468.44,1.139,0.246,136.8,439.9,55.3,26.7,7.21,2.63,4.12,0.15,0.57,129.7,149.0,34.6
2019-07-01 12:00:00,431.44,0.998,0.236,199.9,320.2,36.5,27.2,9.43,3.16,3.18,0.58,0.89,75.9,98.8,5.0
2019-07-02 12:00:00,447.92,0.945,,108.2,397.5,,39.7,2.32,2.44,2.4,0.34,0.53,,29.1,27.2
